vpcId,stateReason,instanceId,imageId,keyName,tagName,clientToken,subnetId,amiLaunchIndex,publicDnsName,instanceLifecycle,platform,publicIpAddress,kernelId,privateIpAddress,stateTransitionReason,spotInstanceRequestId,tagType,privateDnsName,license,launchTime,architecture,rootDeviceType,ramdiskId,iamInstanceProfile,rootDeviceName
,,i-739c161a,ami-1c5db975,taf-keypair,databases-one,,,0,ec2-174-129-108-134.compute-1.amazonaws.com,,,174.129.108.134,aki-a71cf9ce,10.250.99.16,,,db-node-1,ip-10-250-99-16.ec2.internal,,1234447481000,i386,instance-store,ari-a51cf9cc,,
,,i-77681a1e,ami-3c47a355,taf-keypair,widget-node,,,0,ec2-174-129-107-192.compute-1.amazonaws.com,,,174.129.107.192,aki-a71cf9ce,10.251.125.242,,,widget-node-2,ip-10-251-125-242.ec2.internal,,1242193539000,i386,instance-store,ari-a51cf9cc,,
,,i-c5f18aac,ami-3c47a355,taf-keypair,mytaf-node,,,0,ec2-174-129-195-163.compute-1.amazonaws.com,,,174.129.195.163,aki-a71cf9ce,10.251.41.235,,,mytaf-node,ip-10-251-41-235.ec2.internal,,1242825367000,i386,instance-store,ari-a51cf9cc,,
,,i-c22784a1,ami-0fe59066,taf-webservers,kafka,,,0,ec2-50-16-203-57.compute-1.amazonaws.com,,,50.16.203.57,aki-a71cf9ce,10.170.14.83,,,kafka,ip-10-170-14-83.ec2.internal,,1370452124000,i386,instance-store,ari-a51cf9cc,,
,,i-4bd59421,ami-4234de2b,taf-keypair,databases-slave,,,0,ec2-204-236-193-253.compute-1.amazonaws.com,,,204.236.193.253,aki-da37ddb3,10.220.15.239,,,db-slaves,domU-12-31-38-04-0C-01.compute-1.internal,,1283333019000,x86_64,instance-store,,,
,,i-e109018b,ami-98699cf1,taf-keypair,staging,,,0,ec2-75-101-128-164.compute-1.amazonaws.com,,,75.101.128.164,aki-a71cf9ce,10.250.55.148,,,staging,ip-10-250-55-148.ec2.internal,,1285748745000,i386,instance-store,ari-a51cf9cc,,
,,i-44f6ef2b,ami-3a49b653,taf-keypair,mtaf-node,,,0,ec2-50-19-94-54.compute-1.amazonaws.com,,,50.19.94.54,aki-a71cf9ce,10.250.11.239,,,mtaf,ip-10-250-11-239.ec2.internal,,1305103556000,i386,instance-store,ari-a51cf9cc,,
,,i-7f09301e,ami-06ad526f,taf-ing-tmx,tmx-databases,,,0,ec2-50-16-245-2.compute-1.amazonaws.com,,,50.16.245.2,aki-407d9529,10.251.198.131,,,tmx-databases,ip-10-251-198-131.ec2.internal,,1314178913000,i386,ebs,,,/dev/sda1
,,i-044baa66,ami-73e2281a,taf-webservers,databases-two,,,0,ec2-107-22-219-205.compute-1.amazonaws.com,,,107.22.219.205,aki-a71cf9ce,10.250.47.134,,,db-node-2,ip-10-250-47-134.ec2.internal,,1323654633000,i386,instance-store,ari-a51cf9cc,,
,,i-6cc95b07,ami-3fec7956,taf-developers,hadoop-1,NEXsi1368077192170,,0,ec2-23-22-75-20.compute-1.amazonaws.com,,,23.22.75.20,aki-88aa75e1,10.118.177.247,,,,ip-10-118-177-247.ec2.internal,,1372762830000,x86_64,ebs,,,/dev/sda1
,,i-980647f9,ami-68621b01,taf-databases,data-analysis-slave-db,MXLnU1374226177529,,0,ec2-184-73-230-97.compute-1.amazonaws.com,,,184.73.230.97,aki-427d952b,10.157.40.230,,,data-analysis-slave-db,ip-10-157-40-230.ec2.internal,,1374226178000,x86_64,ebs,,,/dev/sda1
,,i-4870ad22,ami-dfd3bfb6,taf-developers,hadoop-2,tHsKb1368093168571,,0,ec2-184-73-143-170.compute-1.amazonaws.com,,,184.73.143.170,aki-88aa75e1,10.202.145.102,,,,ip-10-202-145-102.ec2.internal,,1372762393000,x86_64,ebs,,,/dev/sda1
,,i-d3a133b5,ami-ea0eaa83,taf-webservers,widget-node,,,0,ec2-23-20-111-67.compute-1.amazonaws.com,,,23.20.111.67,aki-a71cf9ce,10.68.5.178,,,widget-node-1,ip-10-68-5-178.ec2.internal,,1337095963000,i386,instance-store,ari-a51cf9cc,,
,,i-cd0feda0,ami-27d4964e,taf-webservers,website,vmHJT1377678014495,,0,ec2-54-221-248-193.compute-1.amazonaws.com,,,54.221.248.193,aki-a71cf9ce,10.12.131.13,,,website,ip-10-12-131-13.ec2.internal,,1377678015000,i386,instance-store,ari-a51cf9cc,,
,,i-78799a00,ami-f629849f,taf-webservers,web-lb-nginx,,,0,ec2-174-129-203-152.compute-1.amazonaws.com,,,174.129.203.152,aki-407d9529,10.28.120.149,,,web-lb-nginx,ip-10-28-120-149.ec2.internal,,1341030684000,i386,ebs,,,/dev/sda1
,,i-cec32fb6,ami-004ae769,taf-databases,supression-db-node,,,0,ec2-23-21-219-60.compute-1.amazonaws.com,,,23.21.219.60,aki-427d952b,10.220.158.17,,,suplist-db,domU-12-31-38-04-9D-E3.compute-1.internal,,1370862464000,x86_64,ebs,,,/dev/sda1
,,i-d4d73bac,ami-9e2b86f7,taf-webservers,geoip-lb-node,,,0,ec2-23-23-198-62.compute-1.amazonaws.com,,,23.23.198.62,aki-427d952b,10.168.30.187,,,geoip-lb-node,ip-10-168-30-187.ec2.internal,,1364568310000,x86_64,ebs,,,/dev/sda1
